het_id,inchikey
0D3,InChIKey=AUJQAKJLNYFOHT-CMPLNLGQSA-N
0D6,InChIKey=GZQYXFWTRHRNKT-AHWVRZQESA-N
0D8,InChIKey=WUGQZFFCHPXWKQ-UHFFFAOYSA-N
0DB,InChIKey=MPZIROHQGMKFGS-YKSBVNFPSA-N
0DC,InChIKey=NCMVOABPESMRCP-CHKWXVPMSA-N
0DF,InChIKey=PDYMCBRGMDRAPX-UHFFFAOYSA-N
0DG,InChIKey=LTFMZDNNPPEQNG-SRQIZXRXSA-N
0DI,InChIKey=NASCAWUSOSJBJH-GOSISDBHSA-N
0DJ,InChIKey=ROERWVFKCQTDPS-UHFFFAOYSA-N
0DN,InChIKey=MYWVPKQWFIVGJZ-XLPZGREQSA-N
0DO,InChIKey=HJVDBHNPRUSMDC-QNRWOPMTSA-N
0DQ,InChIKey=VPHYLVGCMWSAEJ-UHFFFAOYSA-N
0DS,InChIKey=HLSQLCOADIMQBK-QYZOEREBSA-N
0DT,InChIKey=GYOZYWVXFNDGLU-CSMHCCOUSA-N
0DU,InChIKey=IBAZQIKVHCLTHH-SFHVURJKSA-N
0DY,InChIKey=LYVDOPZAZLWTSE-KBPBESRZSA-N
0E5,InChIKey=XHNHHUFIUAJZNF-NJXYFUOMSA-N
0E6,InChIKey=ZCPUCLRLZWEDRC-SFTDATJTSA-N
0E7,InChIKey=QKSIUCFYHKTUCL-CKLTXHEASA-N
0E8,InChIKey=KKRYDPVDJYCEER-QEGGNFSNSA-N
0E9,InChIKey=GEANBHANAKKWSL-ZQWQDMLBSA-N
0EA,InChIKey=RPXZFIAFSLMEJW-DTWKUNHWSA-N
0EC,InChIKey=APKHJGDGWQDBGM-UHFFFAOYSA-N
0ED,InChIKey=XQSMAYNMHYYWCR-ULNSLHSMSA-N
0EF,InChIKey=YLCJIHHAPKJGHH-BHYGNILZSA-N
0EG,InChIKey=VWVBZPYREZAAER-AVGNSLFASA-N
0EH,InChIKey=MLEJPUOWUJAQAF-SNVBAGLBSA-N
0EK,InChIKey=QBCYEBFUOBJJAC-KHVQSSSXSA-N
0EL,InChIKey=YHLJEWZZOJLRNJ-OBSKRNKISA-N
0EM,InChIKey=ZQDBBPUTYSTPQE-DYYCDWSUSA-N
0EO,InChIKey=UYUPAZNZXXOTIF-ZIUUJSQJSA-N
0ET,InChIKey=LVZITIAGAKKXBV-XBRBJHMKSA-N
0EU,InChIKey=DSUNZEZCXUMUEH-MHZLTWQESA-N
0EZ,InChIKey=RFUKEYSMPSCDLJ-CLFZCTPNSA-N
0F0,InChIKey=QHAGMZSIDYTUPB-UHFFFAOYSA-N
0F2,InChIKey=LDYZJAPSNSTXTF-UHFFFAOYSA-N
0F3,InChIKey=VORWCQRDADUXEU-UHFFFAOYSA-N
0F4,InChIKey=JCRUDKWPDBIGME-UCQKPKSFSA-N
0F5,InChIKey=ODUVYHKLKWACJN-SHTZXODSSA-N
0F7,InChIKey=IXLOEMUNKMDCDV-CAIZAGQASA-N
0F9,InChIKey=DMGLUMYOLOAXJY-UHFFFAOYSA-N
0FA,InChIKey=LHNDGZQCKJAVRF-YFKPBYRVSA-N
0FG,InChIKey=BCQKEAUFNXECKN-UXHICEINSA-N
0FK,InChIKey=SDLPADBAAMHWQB-UHFFFAOYSA-N
0FL,InChIKey=BOEOBKSOOCDYCH-VKHMYHEASA-N
0FN,InChIKey=GKEKUQYTCADDSQ-UHFFFAOYSA-N
0FO,InChIKey=KNMCTCABMSGXGR-UHFFFAOYSA-N
0FP,InChIKey=RICYNZHPHSJRNO-GYZAPQSVSA-N
0FR,InChIKey=ZGNXEAXRPSISJF-UHFFFAOYSA-N
0FS,InChIKey=NGJLOFCOEOHFKQ-YVMONPNESA-N
